Basin,Epoch,PAQ
Bighorn Basin,Eocene,0.401408047
Bighorn Basin,Eocene,0.237912456
Bighorn Basin,Eocene,0.445686796
Bighorn Basin,Eocene,0.323161812
Bighorn Basin,Eocene,0.511421077
Bighorn Basin,Eocene,0.374991937
Bighorn Basin,Eocene,0.317224241
Bighorn Basin,Eocene,0.229939553
Bighorn Basin,Eocene,0.317901508
Bighorn Basin,Eocene,0.368034716
Bighorn Basin,Eocene,0.648190289
Bighorn Basin,Eocene,0.314833022
Bighorn Basin,Eocene,0.580023557
Bighorn Basin,Eocene,0.376023394
Bighorn Basin,Eocene,0.306175851
Bighorn Basin,Eocene,0.305671458
Bighorn Basin,Eocene,0.236589625
Bighorn Basin,Eocene,0.282972279
Bighorn Basin,Paleocene,0.161094967
Bighorn Basin,Paleocene,0.17314888
Bighorn Basin,Paleocene,0.201266245
Bighorn Basin,Paleocene,0.231115856
Bighorn Basin,Paleocene,0.317958897
Bighorn Basin,Paleocene,0.433626109
Bighorn Basin,Paleocene,0.262087187
Bighorn Basin,Paleocene,0.512927779
Bighorn Basin,Paleocene,0.336252184
Bighorn Basin,Paleocene,0.352458217
Bighorn Basin,Paleocene,0.50358942
Bighorn Basin,Paleocene,0.427306994
Bighorn Basin,Paleocene,0.433855518
Bighorn Basin,Paleocene,0.41278385
Bighorn Basin,Paleocene,0.308765157
Bighorn Basin,Paleocene,0.233223913
Bighorn Basin,Paleocene,0.288415217
Bighorn Basin,Paleocene,0.283799602
Bighorn Basin,Paleocene,0.54058029
Bighorn Basin,Paleocene,0.552869721
Bighorn Basin,Paleocene,0.372693375
Bighorn Basin,Paleocene,0.356977217
Bighorn Basin,Paleocene,0.568556129
Bighorn Basin,Paleocene,0.419292844
Bighorn Basin,Paleocene,0.289266395
Bighorn Basin,PETM,0
Hanna Basin,Eocene,0.532907117
Hanna Basin,Eocene,0.596801698
Hanna Basin,Eocene,0.420211597
Hanna Basin,Eocene,0.630553551
Hanna Basin,Eocene,0.75088968
Hanna Basin,Eocene,0.656107278
Hanna Basin,Eocene,0.618713972
Hanna Basin,Eocene,0.568081717
Hanna Basin,Eocene,0.470366188
Hanna Basin,Eocene,0.610091197
Hanna Basin,Eocene,0.550298419
Hanna Basin,Eocene,0.629640693
Hanna Basin,Eocene,0.454324223
Hanna Basin,Eocene,0.441606887
Hanna Basin,Paleocene,0.077681295
Hanna Basin,Eocene,0.061663758
Hanna Basin,Paleocene,0.161528049
Hanna Basin,PETM,0.221244926
Hanna Basin,PETM,0.287118766
Hanna Basin,PETM,0.484567901
Hanna Basin,PETM,0.302006336
Hanna Basin,PETM,0.208996006
